Time in ns
817299
768352
976544
956093
956112
955081
847776
718490
768410
723346
764645
824220
792619
876124
744641
2808901
677307
1313230
890137
960974
1162128
1203866
811363
681722
1281547
735416
709266
1040456
4594488
817177
1093529
1165024
801474
724702
738299
740074
693655
1155277
890542
673291
955919
1414597
1189915
1136059
813110
701191
749167
978004
1093953
829293
1299404
735515
803844
792158
760228
1800599
856174
1028495
830278
750355
679681
1231007
732372
731685
811794
802262
1916412
701837
969476
937669
860421
750263
981274
1030455
757011
1434949
1223086
693795
910658
1123913
1238964
954049
735797
727481
775151
1078381
1102787
1098096
694660
675907
1046269
1265777
1455112
1225732
857670
835935
1218977
1172844
3095839
1093336
