Size,Time
0.102000
0.108000
0.114500
0.078500
0.131000
0.124500
0.099000
0.078000
0.060000
0.131500
0.155000
0.104500
0.148500
0.185000
0.089000
0.061000
0.075000
0.365000
0.197500
0.082000
0.084000
0.057500
0.386500
0.068000
0.072500
0.064500
0.082000
0.077000
0.142500
0.070000
0.061500
0.060000
0.075500
0.071500
0.091500
0.061500
0.064500
